defect_id,product_id,defect_type,year,month,month_no,quarter,defect_date,defect_location,severity_level,severity,inspection_method,repair_cost,High_Severity_Flag,defect_year,defect_month,defect_day
96,11,Structural,2024,Aug,8,Q3,03-08-2024,Component,CRITICAL,Critical,Manual Testing,732.13,1,2024,8,3
97,56,Structural,2024,Mar,3,Q1,15-03-2024,Component,MODERATE,Moderate,Automated Testing,582.46,0,2024,3,15
98,67,Cosmetic,2024,Oct,10,Q4,03-10-2024,Component,MODERATE,Moderate,Visual Inspection,647.7,0,2024,10,3
99,67,Structural,2024,Aug,8,Q3,04-08-2024,Component,CRITICAL,Critical,Visual Inspection,536.57,1,2024,8,4
100,8,Functional,2024,Apr,4,Q2,24-04-2024,Surface,MINOR,Minor,Visual Inspection,673.85,0,2024,4,24
101,27,Structural,2024,Jan,1,Q1,25-01-2024,Internal,MINOR,Minor,Manual Testing,871.1,0,2024,1,25
102,79,Structural,2024,Jun,6,Q2,25-06-2024,Internal,CRITICAL,Critical,Visual Inspection,973.66,1,2024,6,25
103,87,Functional,2024,May,5,Q2,31-05-2024,Internal,CRITICAL,Critical,Visual Inspection,787.42,1,2024,5,31
104,1,Structural,2024,Jun,6,Q2,25-06-2024,Surface,MINOR,Minor,Manual Testing,338.48,0,2024,6,25
105,49,Structural,2024,Apr,4,Q2,30-04-2024,Component,CRITICAL,Critical,Visual Inspection,922.07,1,2024,4,30
106,9,Functional,2024,May,5,Q2,14-05-2024,Surface,MODERATE,Moderate,Manual Testing,137.41,0,2024,5,14
107,63,Structural,2024,Jun,6,Q2,28-06-2024,Surface,CRITICAL,Critical,Automated Testing,17.89,1,2024,6,28
108,97,Cosmetic,2024,Jan,1,Q1,26-01-2024,Surface,MODERATE,Moderate,Manual Testing,210.3,0,2024,1,26
109,1,Cosmetic,2024,Feb,2,Q1,22-02-2024,Component,CRITICAL,Critical,Automated Testing,978.5,1,2024,2,22
110,44,Functional,2024,May,5,Q2,03-05-2024,Surface,MINOR,Minor,Visual Inspection,381.15,0,2024,5,3
111,27,Structural,2024,Jun,6,Q2,05-06-2024,Component,MODERATE,Moderate,Manual Testing,302.42,0,2024,6,5
112,9,Cosmetic,2024,Dec,12,Q4,01-12-2024,Component,MINOR,Minor,Automated Testing,813.46,0,2024,12,1
113,67,Cosmetic,2024,Aug,8,Q3,04-08-2024,Surface,MINOR,Minor,Automated Testing,998.27,0,2024,8,4
114,83,Functional,2024,Jan,1,Q1,25-01-2024,Component,CRITICAL,Critical,Manual Testing,498.47,1,2024,1,25
115,66,Functional,2024,Apr,4,Q2,30-04-2024,Internal,MODERATE,Moderate,Visual Inspection,362.23,0,2024,4,30
116,36,Cosmetic,2024,Sep,9,Q3,01-09-2024,Internal,CRITICAL,Critical,Visual Inspection,194.79,1,2024,9,1
117,64,Cosmetic,2024,Nov,11,Q4,01-11-2024,Surface,MODERATE,Moderate,Visual Inspection,677.65,0,2024,11,1
118,66,Structural,2024,Oct,10,Q4,04-10-2024,Surface,CRITICAL,Critical,Manual Testing,310.8,1,2024,10,4
119,99,Structural,2024,May,5,Q2,03-05-2024,Surface,MINOR,Minor,Visual Inspection,717.21,0,2024,5,3
120,80,Functional,2024,Aug,8,Q3,03-08-2024,Component,CRITICAL,Critical,Manual Testing,641.58,1,2024,8,3
121,86,Structural,2024,Sep,9,Q3,06-09-2024,Internal,MINOR,Minor,Manual Testing,520.84,0,2024,9,6
122,51,Structural,2024,Apr,4,Q2,16-04-2024,Surface,CRITICAL,Critical,Manual Testing,271.18,1,2024,4,16
123,79,Cosmetic,2024,Apr,4,Q2,02-04-2024,Internal,MINOR,Minor,Manual Testing,657.81,0,2024,4,2
124,100,Functional,2024,Mar,3,Q1,27-03-2024,Internal,MODERATE,Moderate,Manual Testing,620.66,0,2024,3,27
125,86,Cosmetic,2024,Oct,10,Q4,03-10-2024,Surface,CRITICAL,Critical,Visual Inspection,533.03,1,2024,10,3
126,29,Structural,2024,Jan,1,Q1,02-01-2024,Surface,MINOR,Minor,Visual Inspection,21.77,0,2024,1,2
127,68,Cosmetic,2024,May,5,Q2,19-05-2024,Surface,MINOR,Minor,Manual Testing,302.22,0,2024,5,19
128,92,Cosmetic,2024,Feb,2,Q1,03-02-2024,Internal,MODERATE,Moderate,Automated Testing,895.38,0,2024,2,3
129,14,Cosmetic,2024,Jun,6,Q2,20-06-2024,Surface,CRITICAL,Critical,Visual Inspection,241.61,1,2024,6,20
130,72,Cosmetic,2024,Jun,6,Q2,04-06-2024,Internal,CRITICAL,Critical,Automated Testing,878.46,1,2024,6,4
131,61,Functional,2024,May,5,Q2,15-05-2024,Internal,CRITICAL,Critical,Visual Inspection,268.08,1,2024,5,15
132,63,Structural,2024,Apr,4,Q2,23-04-2024,Surface,CRITICAL,Critical,Visual Inspection,492.32,1,2024,4,23
133,86,Structural,2024,Mar,3,Q1,20-03-2024,Surface,MODERATE,Moderate,Manual Testing,379.78,0,2024,3,20
134,98,Cosmetic,2024,Mar,3,Q1,02-03-2024,Surface,MODERATE,Moderate,Visual Inspection,498.71,0,2024,3,2
135,61,Cosmetic,2024,Feb,2,Q1,15-02-2024,Internal,MODERATE,Moderate,Automated Testing,379.01,0,2024,2,15
136,67,Functional,2024,Feb,2,Q1,21-02-2024,Internal,MINOR,Minor,Automated Testing,79.52,0,2024,2,21
137,2,Functional,2024,Apr,4,Q2,19-04-2024,Internal,CRITICAL,Critical,Automated Testing,602.25,1,2024,4,19
138,11,Structural,2024,May,5,Q2,03-05-2024,Component,CRITICAL,Critical,Automated Testing,575.71,1,2024,5,3
139,58,Cosmetic,2024,Jun,6,Q2,24-06-2024,Surface,CRITICAL,Critical,Visual Inspection,760.33,1,2024,6,24
140,68,Functional,2024,Apr,4,Q2,04-04-2024,Internal,CRITICAL,Critical,Manual Testing,955.54,1,2024,4,4
141,28,Cosmetic,2024,Jun,6,Q2,01-06-2024,Internal,MINOR,Minor,Visual Inspection,679.88,0,2024,6,1
142,63,Structural,2024,Mar,3,Q1,25-03-2024,Internal,CRITICAL,Critical,Visual Inspection,71.91,1,2024,3,25
143,100,Functional,2024,May,5,Q2,27-05-2024,Internal,MODERATE,Moderate,Manual Testing,916.79,0,2024,5,27
144,45,Cosmetic,2024,Jun,6,Q2,18-06-2024,Internal,MODERATE,Moderate,Manual Testing,558.34,0,2024,6,18
145,25,Structural,2024,Jan,1,Q1,16-01-2024,Internal,MINOR,Minor,Manual Testing,23.02,0,2024,1,16
146,43,Cosmetic,2024,Apr,4,Q2,26-04-2024,Internal,MINOR,Minor,Visual Inspection,346.23,0,2024,4,26
147,45,Structural,2024,May,5,Q2,04-05-2024,Internal,CRITICAL,Critical,Automated Testing,926.31,1,2024,5,4
148,84,Cosmetic,2024,Jan,1,Q1,29-01-2024,Internal,CRITICAL,Critical,Automated Testing,783.88,1,2024,1,29
149,41,Cosmetic,2024,Jan,1,Q1,25-01-2024,Surface,MODERATE,Moderate,Automated Testing,747.18,0,2024,1,25
150,53,Functional,2024,Mar,3,Q1,22-03-2024,Surface,CRITICAL,Critical,Manual Testing,415.84,1,2024,3,22
151,61,Structural,2024,Jul,7,Q3,06-07-2024,Component,MINOR,Minor,Visual Inspection,502.15,0,2024,7,6
152,97,Structural,2024,Jan,1,Q1,27-01-2024,Internal,MODERATE,Moderate,Manual Testing,94.7,0,2024,1,27
153,63,Cosmetic,2024,Sep,9,Q3,01-09-2024,Surface,MINOR,Minor,Manual Testing,426.04,0,2024,9,1
154,75,Cosmetic,2024,Mar,3,Q1,05-03-2024,Surface,MODERATE,Moderate,Automated Testing,380.52,0,2024,3,5
155,10,Structural,2024,Jan,1,Q1,24-01-2024,Component,MINOR,Minor,Visual Inspection,935.64,0,2024,1,24
156,56,Functional,2024,May,5,Q2,21-05-2024,Internal,MINOR,Minor,Manual Testing,595.9,0,2024,5,21
157,96,Functional,2024,Jul,7,Q3,05-07-2024,Surface,MINOR,Minor,Manual Testing,788.22,0,2024,7,5
158,96,Functional,2024,Jan,1,Q1,16-01-2024,Surface,CRITICAL,Critical,Visual Inspection,465.74,1,2024,1,16
159,77,Structural,2024,May,5,Q2,19-05-2024,Internal,MODERATE,Moderate,Automated Testing,661.8,0,2024,5,19
160,91,Structural,2024,May,5,Q2,17-05-2024,Surface,MODERATE,Moderate,Manual Testing,532.77,0,2024,5,17
161,56,Cosmetic,2024,May,5,Q2,21-05-2024,Component,MINOR,Minor,Visual Inspection,612.03,0,2024,5,21
162,56,Functional,2024,Sep,9,Q3,02-09-2024,Component,MODERATE,Moderate,Manual Testing,614.11,0,2024,9,2
163,12,Cosmetic,2024,Jan,1,Q1,30-01-2024,Surface,MINOR,Minor,Manual Testing,238.39,0,2024,1,30
164,6,Structural,2024,Apr,4,Q2,20-04-2024,Internal,MINOR,Minor,Visual Inspection,986.51,0,2024,4,20
165,30,Cosmetic,2024,Jun,6,Q2,05-06-2024,Component,CRITICAL,Critical,Automated Testing,796.76,1,2024,6,5
166,34,Functional,2024,Feb,2,Q1,15-02-2024,Component,MINOR,Minor,Visual Inspection,105.27,0,2024,2,15
167,99,Cosmetic,2024,Jan,1,Q1,27-01-2024,Surface,MODERATE,Moderate,Automated Testing,950.97,0,2024,1,27
168,14,Structural,2024,Jun,6,Q2,29-06-2024,Surface,CRITICAL,Critical,Visual Inspection,517.41,1,2024,6,29
169,70,Cosmetic,2024,Mar,3,Q1,06-03-2024,Surface,CRITICAL,Critical,Manual Testing,789.62,1,2024,3,6
170,4,Functional,2024,May,5,Q2,16-05-2024,Internal,MODERATE,Moderate,Visual Inspection,942.03,0,2024,5,16
171,74,Cosmetic,2024,Apr,4,Q2,26-04-2024,Surface,MODERATE,Moderate,Manual Testing,352.05,0,2024,4,26
172,25,Cosmetic,2024,Feb,2,Q1,01-02-2024,Component,CRITICAL,Critical,Automated Testing,10.22,1,2024,2,1
173,74,Cosmetic,2024,Mar,3,Q1,29-03-2024,Component,MODERATE,Moderate,Automated Testing,932.23,0,2024,3,29
174,51,Functional,2024,May,5,Q2,29-05-2024,Surface,CRITICAL,Critical,Automated Testing,715.22,1,2024,5,29
175,6,Structural,2024,Feb,2,Q1,19-02-2024,Internal,MODERATE,Moderate,Manual Testing,999.64,0,2024,2,19
176,13,Structural,2024,Sep,9,Q3,03-09-2024,Surface,CRITICAL,Critical,Manual Testing,952.49,1,2024,9,3
177,34,Structural,2024,Jan,1,Q1,21-01-2024,Internal,MINOR,Minor,Manual Testing,174.76,0,2024,1,21
178,51,Functional,2024,Jan,1,Q1,17-01-2024,Internal,MINOR,Minor,Visual Inspection,755.15,0,2024,1,17
179,44,Structural,2024,Apr,4,Q2,23-04-2024,Surface,MODERATE,Moderate,Automated Testing,532.6,0,2024,4,23
180,64,Structural,2024,Jul,7,Q3,01-07-2024,Component,MINOR,Minor,Manual Testing,854.25,0,2024,7,1
181,91,Functional,2024,Feb,2,Q1,29-02-2024,Internal,MINOR,Minor,Automated Testing,383.83,0,2024,2,29
182,80,Functional,2024,Jan,1,Q1,27-01-2024,Internal,MODERATE,Moderate,Manual Testing,80,0,2024,1,27
183,8,Structural,2024,Feb,2,Q1,02-02-2024,Component,CRITICAL,Critical,Visual Inspection,970.31,1,2024,2,2
184,14,Functional,2024,Sep,9,Q3,02-09-2024,Internal,MODERATE,Moderate,Visual Inspection,517.63,0,2024,9,2
185,64,Structural,2024,Jan,1,Q1,15-01-2024,Surface,MODERATE,Moderate,Automated Testing,81.33,0,2024,1,15
186,21,Structural,2024,Mar,3,Q1,29-03-2024,Component,CRITICAL,Critical,Manual Testing,540.92,1,2024,3,29
187,13,Cosmetic,2024,Apr,4,Q2,27-04-2024,Internal,CRITICAL,Critical,Visual Inspection,280.77,1,2024,4,27
188,56,Structural,2024,Feb,2,Q1,06-02-2024,Internal,MODERATE,Moderate,Automated Testing,87.28,0,2024,2,6
189,95,Cosmetic,2024,Feb,2,Q1,23-02-2024,Surface,MINOR,Minor,Manual Testing,306.56,0,2024,2,23
190,4,Functional,2024,Jun,6,Q2,22-06-2024,Surface,CRITICAL,Critical,Automated Testing,86.46,1,2024,6,22
191,80,Cosmetic,2024,Dec,12,Q4,01-12-2024,Surface,CRITICAL,Critical,Manual Testing,13.03,1,2024,12,1
192,95,Functional,2024,Mar,3,Q1,21-03-2024,Component,CRITICAL,Critical,Visual Inspection,525.07,1,2024,3,21
193,28,Cosmetic,2024,May,5,Q2,21-05-2024,Component,CRITICAL,Critical,Manual Testing,219.71,1,2024,5,21
194,1,Structural,2024,Mar,3,Q1,03-03-2024,Component,CRITICAL,Critical,Visual Inspection,192.21,1,2024,3,3
195,17,Structural,2024,Feb,2,Q1,18-02-2024,Component,MODERATE,Moderate,Automated Testing,924.13,0,2024,2,18
196,18,Structural,2024,Jun,6,Q2,21-06-2024,Component,MINOR,Minor,Manual Testing,65.23,0,2024,6,21
197,76,Cosmetic,2024,May,5,Q2,28-05-2024,Internal,MODERATE,Moderate,Automated Testing,481.7,0,2024,5,28
198,28,Cosmetic,2024,Apr,4,Q2,14-04-2024,Surface,MINOR,Minor,Manual Testing,561.27,0,2024,4,14
199,75,Structural,2024,Jan,1,Q1,30-01-2024,Internal,MODERATE,Moderate,Visual Inspection,169.54,0,2024,1,30
200,78,Cosmetic,2024,Apr,4,Q2,04-04-2024,Surface,MODERATE,Moderate,Visual Inspection,629.38,0,2024,4,4
201,8,Cosmetic,2024,Apr,4,Q2,01-04-2024,Surface,CRITICAL,Critical,Automated Testing,783.36,1,2024,4,1
202,97,Structural,2024,May,5,Q2,25-05-2024,Surface,MODERATE,Moderate,Automated Testing,102.88,0,2024,5,25
203,22,Structural,2024,May,5,Q2,04-05-2024,Component,MINOR,Minor,Manual Testing,269.04,0,2024,5,4
204,82,Functional,2024,Jan,1,Q1,20-01-2024,Surface,MODERATE,Moderate,Visual Inspection,257.33,0,2024,1,20
205,17,Structural,2024,May,5,Q2,28-05-2024,Component,CRITICAL,Critical,Automated Testing,824.37,1,2024,5,28
206,59,Functional,2024,May,5,Q2,29-05-2024,Surface,MINOR,Minor,Manual Testing,303.59,0,2024,5,29
207,69,Functional,2024,Apr,4,Q2,22-04-2024,Internal,CRITICAL,Critical,Automated Testing,793.3,1,2024,4,22
208,22,Functional,2024,Jan,1,Q1,31-01-2024,Surface,CRITICAL,Critical,Manual Testing,929.05,1,2024,1,31
209,76,Functional,2024,May,5,Q2,20-05-2024,Internal,MODERATE,Moderate,Manual Testing,473.36,0,2024,5,20
210,59,Functional,2024,Jan,1,Q1,25-01-2024,Surface,MINOR,Minor,Automated Testing,478.17,0,2024,1,25
211,61,Structural,2024,Dec,12,Q4,03-12-2024,Component,CRITICAL,Critical,Manual Testing,430.49,1,2024,12,3
212,69,Functional,2024,Jul,7,Q3,05-07-2024,Surface,MODERATE,Moderate,Automated Testing,460.93,0,2024,7,5
213,75,Cosmetic,2024,Jan,1,Q1,30-01-2024,Internal,MODERATE,Moderate,Visual Inspection,917.3,0,2024,1,30
214,42,Structural,2024,Feb,2,Q1,01-02-2024,Surface,MINOR,Minor,Manual Testing,520.21,0,2024,2,1
215,38,Functional,2024,Jul,7,Q3,01-07-2024,Internal,CRITICAL,Critical,Manual Testing,575.58,1,2024,7,1
216,5,Structural,2024,Jan,1,Q1,13-01-2024,Internal,MODERATE,Moderate,Visual Inspection,296.41,0,2024,1,13
217,10,Cosmetic,2024,May,5,Q2,28-05-2024,Surface,CRITICAL,Critical,Automated Testing,622.98,1,2024,5,28
218,21,Functional,2024,Oct,10,Q4,05-10-2024,Internal,CRITICAL,Critical,Visual Inspection,484.08,1,2024,10,5
219,92,Cosmetic,2024,Apr,4,Q2,26-04-2024,Component,CRITICAL,Critical,Manual Testing,479.31,1,2024,4,26
